name,year,team,position
Chuck Lester,1995,Buffalo Bills,Assistant Linebackers
Dick Roach,1995,Buffalo Bills,Defensive Backs
Bruce DeHaven,1995,Buffalo Bills,Special Teams
Dom Capers,1995,Carolina Panthers,Head Coach
Chick Harris,1995,Carolina Panthers,Running Backs
Richard Williamson,1995,Carolina Panthers,Wide Receivers
Don Breaux,1995,Carolina Panthers,Tight Ends
Jim McNally,1995,Carolina Panthers,Offensive Line
Blair Bush,1995,Carolina Panthers,Assistant Offensive Line
John Shoop,1995,Carolina Panthers,Offensive Quality Control
Cary Godette,1995,Carolina Panthers,Defensive Line
Kevin Steele,1995,Carolina Panthers,Linebackers
Billy Davis,1995,Carolina Panthers,Outside Linebackers
George Catavolos,1995,Carolina Panthers,Defensive Backs
Greg Roman,1995,Carolina Panthers,Defensive Quality Control/Strength And Conditioning Assistant
Brad Seely,1995,Carolina Panthers,Special Teams
Chip Morton,1995,Carolina Panthers,Strength And Conditioning
Greg Roman,1995,Carolina Panthers,Defensive Quality Control/Strength And Conditioning Assistant
Dave Wannstedt,1995,Chicago Bears,Head Coach
Tony Wise,1995,Chicago Bears,Assistant Head Coach/Offensive Line
Willie Peete,1995,Chicago Bears,Running Backs
Ivan Fears,1995,Chicago Bears,Wide Receivers
Mike Shula,1995,Chicago Bears,Tight Ends
Tony Wise,1995,Chicago Bears,Assistant Head Coach/Offensive Line
Clarence Brooks,1995,Chicago Bears,Defensive Line
Dave McGinnis,1995,Chicago Bears,Linebackers
Carlos Mainord,1995,Chicago Bears,Defensive Assistant
Danny Abramowicz,1995,Chicago Bears,Special Teams
Dave Shula,1995,Cincinnati Bengals,Head Coach
Ken Anderson,1995,Cincinnati Bengals,Quarterbacks
Jim Anderson,1995,Cincinnati Bengals,Running Backs
Gary Moeller,1995,Cincinnati Bengals,Tight Ends
Paul Alexander,1995,Cincinnati Bengals,Offensive Line
John Garrett,1995,Cincinnati Bengals,Offensive Assistant/Wide Receivers
Bobby DePaul,1995,Cincinnati Bengals,Defensive Line
Joe Pascale,1995,Cincinnati Bengals,Linebackers
Ron Meeks,1995,Cincinnati Bengals,Defensive Backs
Tim Krumrie,1995,Cincinnati Bengals,Defensive Assistant
Joe Wessel,1995,Cincinnati Bengals,Special Teams
Kim Wood,1995,Cincinnati Bengals,Strength And Conditioning
Bill Belichick,1995,Cleveland Browns,Head Coach
Mike Sheppard,1995,Cleveland Browns,Receivers
Pat Hill,1995,Cleveland Browns,Tight Ends/Assistant Offensive Line
Kirk Ferentz,1995,Cleveland Browns,Offensive Line
Ernie Adams,1995,Cleveland Browns,Special Assignment
John Settle,1995,Cleveland Browns,Offensive Assistant
Jacob Burney,1995,Cleveland Browns,Defensive Line
Chuck Bresnahan,1995,Cleveland Browns,Linebackers
Jim Bates,1995,Cleveland Browns,Secondary
Scott O'Brien,1995,Cleveland Browns,Special Teams
Jerry Simmons,1995,Cleveland Browns,Strength And Conditioning
Mike Shanahan,1995,Denver Broncos,Head Coach
Alex Gibbs,1995,Denver Broncos,Assistant Head Coach/Offensive Line
Bobby Turner,1995,Denver Broncos,Running Backs
Mike Heimerdinger,1995,Denver Broncos,Wide Receivers
Brian Pariani,1995,Denver Broncos,Tight Ends
Barney Chavous,1995,Denver Broncos,Assistant Offensive Line/Strength Assistant
Rick Dennison,1995,Denver Broncos,Offensive Assistant
George Dyer,1995,Denver Broncos,Defensive Line
Frank Bush,1995,Denver Broncos,Linebackers
Ed Donatell,1995,Denver Broncos,Defensive Backs/Secondary
Alvin Reynolds,1995,Denver Broncos,Assistant Defensive Backs
Richard Smith,1995,Denver Broncos,Special Teams
Rich Tuten,1995,Denver Broncos,Strength And Conditioning
Greg Saporta,1995,Denver Broncos,Assistant Strength And Conditioning
Barney Chavous,1995,Denver Broncos,Assistant Offensive Line/Strength Assistant
Wayne Fontes,1995,Detroit Lions,Head Coach
Dave Levy,1995,Detroit Lions,Assistant Head Coach
John Teerlinck,1995,Detroit Lions,Assistant Head Coach/Defense
Greg Landry,1995,Detroit Lions,Quarterbacks
Mo Forte,1995,Detroit Lions,Running Backs
Charlie Sanders,1995,Detroit Lions,Receivers
Steve Kazor,1995,Detroit Lions,Tight Ends/Offensive Assistant
Paul Boudreau,1995,Detroit Lions,Offensive Line
Don Clemons,1995,Detroit Lions,Linebackers
Howard Tippett,1995,Detroit Lions,Outside Linebackers
John Fontes,1995,Detroit Lions,Defensive Backs
Frank Novak,1995,Detroit Lions,Special Teams
Bert Hill,1995,Detroit Lions,Strength And Conditioning/Defensive Assistant
Mike Holmgren,1995,Green Bay Packers,Head Coach
Steve Mariucci,1995,Green Bay Packers,Quarterbacks
Harry Sydney,1995,Green Bay Packers,Running Backs
Gil Haskell,1995,Green Bay Packers,Wide Receivers
Tom Lovat,1995,Green Bay Packers,Offensive Line
Andy Reid,1995,Green Bay Packers,Assistant Offensive Line/Tight Ends
Marty Mornhinweg,1995,Green Bay Packers,Offensive Assistant/Quality Control
Larry Brooks,1995,Green Bay Packers,Defensive Line
Jim Lind,1995,Green Bay Packers,Linebackers
Bob Valesente,1995,Green Bay Packers,Defensive Backs/Secondary
Johnny Holland,1995,Green Bay Packers,Defensive Assistant/Quality Control
Nolan Cromwell,1995,Green Bay Packers,Special Teams
Kent Johnston,1995,Green Bay Packers,Strength And Conditioning
Barry Rubin,1995,Green Bay Packers,Assistant Strength And Conditioning
Jeff Fisher,1995,Houston Oilers,Head Coach
Dick Coury,1995,Houston Oilers,Offensive Assistant/Passing Game
Sherman Smith,1995,Houston Oilers,Running Backs
Les Steckel,1995,Houston Oilers,Wide Receivers/Tight Ends
Larry Beightol,1995,Houston Oilers,Offensive Line
Mike Munchak,1995,Houston Oilers,Offensive Assistant/Quality Control
Rex Norris,1995,Houston Oilers,Defensive Line
Gregg Williams,1995,Houston Oilers,Linebackers
Rod Perry,1995,Houston Oilers,Defensive Backs
Clancy Pendergast,1995,Houston Oilers,Defensive Assistant/Quality Control
Russ Purnell,1995,Houston Oilers,Special Teams
Steve Watterson,1995,Houston Oilers,Strength And Conditioning
Ted Marchibroda,1995,Indianapolis Colts,Head Coach
Gene Huey,1995,Indianapolis Colts,Running Backs
Jimmy Robinson,1995,Indianapolis Colts,Receivers
Tom Batta,1995,Indianapolis Colts,Tight Ends/Quality Control
Ron Blackledge,1995,Indianapolis Colts,Offensive Line
Greg Blache,1995,Indianapolis Colts,Defensive Line
Jim Johnson,1995,Indianapolis Colts,Linebackers
Pat Thomas,1995,Indianapolis Colts,Secondary
Fred Bruney,1995,Indianapolis Colts,Defensive Assistant
Hank Kuhlmann,1995,Indianapolis Colts,Special Teams
Tom Zupancic,1995,Indianapolis Colts,Strength And Conditioning
Tom Coughlin,1995,Jacksonville Jaguars,Head Coach
Jerald Ingram,1995,Jacksonville Jaguars,Running Backs
Pete Carmichael,1995,Jacksonville Jaguars,Wide Receivers
Nick Nicolau,1995,Jacksonville Jaguars,Tight Ends
Mike Maser,1995,Jacksonville Jaguars,Offensive Line
John Pease,1995,Jacksonville Jaguars,Defensive Line
Steve Szabo,1995,Jacksonville Jaguars,Inside Linebackers
Lucious Selmon,1995,Jacksonville Jaguars,Outside Linebackers
Randy Edsall,1995,Jacksonville Jaguars,Secondary
Joe Baker,1995,Jacksonville Jaguars,Assistant Special Teams
